currency,strategy_id,parameters,evaluated_horizons,min_hit_lift,median_hit_lift,min_benefit_bps,min_benefit_ci_low_95,signals_per_week,passes_hard_screen,passes_case_screen
KZT,level_L120_p80,"{""higher_share"": 0.8, ""lookback"": 120}",4,1.2,1.2977434538186023,32.126371987681296,12.315321644684406,0.4258064516129032,True,False
TJS,level_L250_p95,"{""higher_share"": 0.95, ""lookback"": 250}",4,1.2012012012012012,1.3137426445033018,80.26134235066812,24.406859080800775,0.11612903225806452,True,False
AMD,level_L20_p95,"{""higher_share"": 0.95, ""lookback"": 20}",4,0.96,1.0394770413891363,52.53374909279101,29.68675169849156,0.33548387096774196,False,False
AMD,level_L60_p95,"{""higher_share"": 0.95, ""lookback"": 60}",4,0.9506057781919851,1.0884010363073,44.8559576425974,21.641515183278496,0.32903225806451614,False,False
AMD,level_L60_p80,"{""higher_share"": 0.8, ""lookback"": 60}",4,0.9015455065827132,0.9699951545416298,23.14836899091084,6.436375431429628,0.5225806451612903,False,False
AMD,level_L250_p80,"{""higher_share"": 0.8, ""lookback"": 250}",4,0.8834228304174605,0.9467701431866646,19.01854674185919,-4.013531019715754,0.3935483870967742,False,False
AMD,level_L250_p70,"{""higher_share"": 0.7, ""lookback"": 250}",4,0.8727272727272728,0.9262327489200101,7.72718193127108,-7.78453392341065,0.4645161290322581,False,False
AMD,level_L60_p90,"{""higher_share"": 0.9, ""lookback"": 60}",4,0.8655035032284654,0.8987923840375398,21.42732708791671,-2.3283244110796693,0.3870967741935484,False,False
AMD,level_L120_p70,"{""higher_share"": 0.7, ""lookback"": 120}",4,0.8526187576126675,0.8826926383508997,4.333799408103815,-8.196124025677609,0.5032258064516129,False,False
AMD,level_L120_p80,"{""higher_share"": 0.8, ""lookback"": 120}",4,0.8450704225352111,0.8949658105615284,18.710604084224716,-4.081765887571949,0.44516129032258067,False,False
AMD,level_L60_p70,"{""higher_share"": 0.7, ""lookback"": 60}",4,0.7785736530675802,0.8225623573126664,15.73568575435304,4.035178673275551,0.5870967741935483,False,False
AMD,level_L250_p95,"{""higher_share"": 0.95, ""lookback"": 250}",4,0.7643312101910829,0.8487038334010842,31.8441943947903,9.079073877497258,0.2645161290322581,False,False
AMD,level_L120_p95,"{""higher_share"": 0.95, ""lookback"": 120}",4,0.7319056654920032,0.7722044253409567,25.32395606616294,-1.8335603055916712,0.25161290322580643,False,False
AMD,level_L20_p90,"{""higher_share"": 0.9, ""lookback"": 20}",4,0.707234418741712,0.7771926911856311,39.680188242349985,21.06988432732293,0.4129032258064516,False,False
AMD,level_L250_p90,"{""higher_share"": 0.9, ""lookback"": 250}",4,0.6736914838486784,0.7421797517278077,21.96355241428201,-5.171951595239397,0.3096774193548387,False,False
AMD,level_L20_p70,"{""higher_share"": 0.7, ""lookback"": 20}",4,0.6547537852953214,0.7062474735487227,0.05063853933323967,-15.460772642110218,0.567741935483871,False,False
AMD,level_L120_p90,"{""higher_share"": 0.9, ""lookback"": 120}",4,0.6218332565637955,0.712796263405448,18.713242412833257,-1.3413713275981156,0.33548387096774196,False,False
AMD,level_L20_p80,"{""higher_share"": 0.8, ""lookback"": 20}",4,0.6131111460462191,0.7102215944674671,17.65445448428201,2.4232513626220293,0.49032258064516127,False,False
