strategy_id,train_count,train_signals_per_week,train_hit_rate,train_random_hit_rate,train_hit_lift,train_benefit_bps,frequency_gate,sample_gate,benefit_gate,lift_gate,frequency_distance,currency,signal_family,scenario,selection_horizon,fold_start,fold_end
level_L20_p90,78,0.3786407766990291,0.44871794871794873,0.38703140830800403,1.15938380990737,58.75282991646245,False,True,True,False,0.6213592233009708,AMD,level,favourable_now,2,2018-01-01,2019-01-01
corridor_exit_down_L5_r400_b50bp,65,0.3155339805825243,0.4307692307692308,0.38703140830800403,1.1130084575110755,77.43931927679597,False,True,True,False,0.6844660194174756,AMD,corridor_exit_down,favourable_now,2,2018-01-01,2019-01-01
corridor_exit_up_L10_r400_b0bp,57,0.2766990291262136,0.6491228070175439,0.5086119554204661,1.2762633675823023,-35.26493650483483,False,True,False,True,0.7233009708737864,AMD,corridor_exit_up,window_closing,2,2018-01-01,2019-01-01
level_L20_p90,92,0.35797665369649806,0.43478260869565216,0.39303079416531606,1.1062303899596593,56.177617403916784,False,True,True,False,0.6420233463035019,AMD,level,favourable_now,2,2019-01-01,2020-01-01
corridor_exit_down_L5_r400_b50bp,78,0.3035019455252918,0.4358974358974359,0.39303079416531606,1.1090668781390431,73.52478449918883,False,True,True,False,0.6964980544747081,AMD,corridor_exit_down,favourable_now,2,2019-01-01,2020-01-01
corridor_exit_up_L20_r400_b0bp,34,0.13229571984435798,0.6764705882352942,0.5113452188006483,1.3229234641558685,-30.53887039770648,False,True,False,True,0.867704280155642,AMD,corridor_exit_up,window_closing,2,2019-01-01,2020-01-01
level_L120_p95,58,0.18831168831168832,0.4482758620689655,0.3864864864864865,1.1598746081504703,35.84133521175387,False,True,True,False,0.8116883116883117,AMD,level,favourable_now,2,2020-01-01,2021-01-01
corridor_exit_down_L20_r400_b0bp,37,0.12012987012987013,0.5135135135135135,0.3864864864864865,1.3286713286713285,34.406085759682334,False,True,True,True,0.8798701298701299,AMD,corridor_exit_down,favourable_now,2,2020-01-01,2021-01-01
corridor_exit_up_L5_r100_b0bp,72,0.23376623376623376,0.6388888888888888,0.5027027027027027,1.2709080047789725,-18.175523647816586,False,True,False,True,0.7662337662337663,AMD,corridor_exit_up,window_closing,2,2020-01-01,2021-01-01
level_L120_p95,64,0.17777777777777778,0.453125,0.3871154962275102,1.170516304347826,35.97625319573708,False,True,True,False,0.8222222222222222,AMD,level,favourable_now,2,2021-01-01,2022-01-01
corridor_exit_down_L20_r400_b0bp,37,0.10277777777777777,0.5135135135135135,0.3871154962275102,1.3265124194659426,34.406085759682334,False,True,True,True,0.8972222222222223,AMD,corridor_exit_down,favourable_now,2,2021-01-01,2022-01-01
corridor_exit_up_L20_r400_b25bp,38,0.10555555555555556,0.6842105263157895,0.506094022054556,1.351943505552873,-30.062673657887714,False,True,False,True,0.8944444444444445,AMD,corridor_exit_up,window_closing,2,2021-01-01,2022-01-01
level_L120_p95,72,0.17518248175182483,0.4444444444444444,0.38863521055301875,1.1436031331592689,37.41601088530457,False,True,True,False,0.8248175182481752,AMD,level,favourable_now,2,2022-01-01,2023-01-01
corridor_exit_down_L20_r400_b0bp,47,0.11435523114355231,0.5319148936170213,0.38863521055301875,1.3686739625576358,31.843779825552623,False,True,True,True,0.8856447688564477,AMD,corridor_exit_down,favourable_now,2,2022-01-01,2023-01-01
corridor_exit_up_L20_r400_b25bp,42,0.10218978102189781,0.7142857142857143,0.5088787417554541,1.4036462042444096,-27.88329584396866,False,True,False,True,0.8978102189781022,AMD,corridor_exit_up,window_closing,2,2022-01-01,2023-01-01
level_L120_p95,81,0.17532467532467533,0.4444444444444444,0.38999098286744815,1.1396274887604367,49.43344846056574,False,True,True,False,0.8246753246753247,AMD,level,favourable_now,2,2023-01-01,2024-01-01
corridor_exit_down_L20_r400_b0bp,48,0.1038961038961039,0.5208333333333334,0.38999098286744815,1.3355009633911368,31.973941976626396,False,True,True,True,0.8961038961038961,AMD,corridor_exit_down,favourable_now,2,2023-01-01,2024-01-01
corridor_exit_up_L20_r400_b25bp,44,0.09523809523809523,0.7045454545454546,0.5054102795311091,1.394006974292434,-29.7640062002435,False,True,False,True,0.9047619047619048,AMD,corridor_exit_up,window_closing,2,2023-01-01,2024-01-01
level_L120_p95,81,0.15789473684210525,0.4444444444444444,0.4,1.111111111111111,49.43344846056574,False,True,True,False,0.8421052631578947,AMD,level,favourable_now,2,2024-01-01,2025-01-01
corridor_exit_down_L20_r400_b0bp,50,0.09746588693957114,0.5,0.4,1.25,28.19786163073418,False,True,True,True,0.9025341130604289,AMD,corridor_exit_down,favourable_now,2,2024-01-01,2025-01-01
corridor_exit_up_L20_r400_b25bp,46,0.08966861598440545,0.717391304347826,0.5139959432048682,1.3957139425551626,-27.2479260552868,False,True,False,True,0.9103313840155945,AMD,corridor_exit_up,window_closing,2,2024-01-01,2025-01-01
level_L250_p95,52,0.09219858156028368,0.46153846153846156,0.40508661997788425,1.1393574578287955,52.928145306976376,False,True,True,False,0.9078014184397163,AMD,level,favourable_now,2,2025-01-01,2026-01-01
corridor_exit_down_L20_r400_b0bp,57,0.10106382978723404,0.5087719298245614,0.40508661997788425,1.255958367255719,30.936291450188335,False,True,True,True,0.898936170212766,AMD,corridor_exit_down,favourable_now,2,2025-01-01,2026-01-01
corridor_exit_up_L20_r400_b25bp,53,0.09397163120567376,0.7358490566037735,0.5178768890527092,1.4208957228228023,-25.75728612809387,False,True,False,True,0.9060283687943262,AMD,corridor_exit_up,window_closing,2,2025-01-01,2026-01-01
level_L60_p95,136,0.22113821138211381,0.41911764705882354,0.3989864864864865,1.0504557453802859,42.214710438871656,False,True,True,False,0.7788617886178861,AMD,level,favourable_now,2,2026-01-01,2026-09-03
