recent_years,requested_period_start,data_as_of,currency,strategy_id,signal_family,scenario,parameters,horizon,target_definition,signal_count,evaluated_signal_count,signals_per_week,hit_rate,random_hit_rate_mean,hit_lift,hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,median_gap_days,max_gap_days,first_signal,last_signal
3,2023-09-02,2026-09-02,AMD,walk_forward__level__h2,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 20}",2,no_lower_price_in_next_h_observations,41,41,0.2645161290322581,0.4146341463414634,0.4017073170731707,1.0321797207043109,0.5016611295681063,30.356436757563127,11.279303765819478,64.97322662037409,0.03986710963455149,26.88659497699981,-0.04513335604236448,6.0,203.0,2024-01-11,2026-05-30
3,2023-09-02,2026-09-02,KGS,walk_forward__level__h2,level,favourable_now,"{""higher_share"": 0.9, ""lookback"": 20}",2,no_lower_price_in_next_h_observations,46,46,0.2967741935483871,0.2608695652173913,0.38891304347826083,0.6707657909446618,0.9700996677740864,21.328940700939146,2.9637787995724483,62.38742121447289,0.11295681063122924,2.0034064133673937,-1.7776903545891878,6.0,239.0,2024-06-20,2026-06-10
3,2023-09-02,2026-09-02,KZT,walk_forward__level__h2,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 60}",2,no_lower_price_in_next_h_observations,52,52,0.33548387096774196,0.40384615384615385,0.39634615384615385,1.0189228529839884,0.4883720930232558,38.277036215860804,13.890378576705334,64.3271416937274,0.009966777408637873,1.97143861323096,-1.8553168686035384,6.0,182.0,2023-09-29,2026-06-17
3,2023-09-02,2026-09-02,TJS,walk_forward__level__h2,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 20}",2,no_lower_price_in_next_h_observations,46,46,0.2967741935483871,0.30434782608695654,0.41717391304347823,0.7295466388744138,0.9767441860465116,41.46826376640229,25.362752812396486,60.08658634006248,0.0033222591362126247,-14.399853766488318,2.4714658886801013,10.0,127.0,2023-10-21,2026-05-19
3,2023-09-02,2026-09-02,UZS,walk_forward__level__h2,level,favourable_now,"{""higher_share"": 0.95, ""lookback"": 20}",2,no_lower_price_in_next_h_observations,39,39,0.25161290322580643,0.358974358974359,0.4095726495726496,0.8764607679465776,0.8073089700996677,18.025442532350766,-0.026282327546222173,41.07659814251216,0.06976744186046512,-2.9769672619571432,-0.2170683161358106,6.0,296.0,2024-05-25,2026-06-10
3,2023-09-02,2026-09-02,AMD,walk_forward__corridor_exit_down__h3,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 400.0}",3,no_lower_price_in_next_h_observations,15,15,0.0967741935483871,0.3333333333333333,0.35377777777777775,0.9422110552763819,0.6677740863787376,32.65402720562801,1.239010048212056,54.366966590295064,0.0033222591362126247,-15.002504902510282,0.41808923630946965,48.0,297.0,2023-10-03,2026-05-19
3,2023-09-02,2026-09-02,KGS,walk_forward__corridor_exit_down__h3,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",3,no_lower_price_in_next_h_observations,34,34,0.21935483870967742,0.20588235294117646,0.34568627450980394,0.5955757231990924,0.9700996677740864,16.285655243018567,2.7282664316509644,29.09487639251525,0.006644518272425249,-57.48049250646657,-3.6119248997784332,25.0,80.0,2023-09-22,2026-07-25
3,2023-09-02,2026-09-02,KZT,walk_forward__corridor_exit_down__h3,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",3,no_lower_price_in_next_h_observations,27,27,0.17419354838709677,0.3333333333333333,0.3214814814814814,1.0368663594470047,0.5282392026578073,82.41104739402124,47.233956662440676,120.49657196549691,0.0033222591362126247,-9.51140762667146,-7.430220458783669,29.5,140.0,2023-09-13,2026-05-30
3,2023-09-02,2026-09-02,TJS,walk_forward__corridor_exit_down__h3,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",3,no_lower_price_in_next_h_observations,31,31,0.2,0.3225806451612903,0.38,0.8488964346349746,0.8006644518272426,73.62364043450383,37.5935910743931,112.95898732793536,0.0033222591362126247,11.001465211390965,6.3337655726854845,26.5,112.0,2023-09-13,2026-05-19
3,2023-09-02,2026-09-02,UZS,walk_forward__corridor_exit_down__h3,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 10, ""max_range_bps"": 400.0}",3,no_lower_price_in_next_h_observations,44,44,0.2838709677419355,0.22727272727272727,0.353560606060606,0.6428112277694451,0.9900332225913622,45.75322910535484,21.464402229331277,73.684904917546,0.0033222591362126247,-25.562739548222623,-2.482683049131896,13.0,78.0,2023-09-12,2026-05-19
