currency,strategy_id,signal_family,scenario,parameters,horizon,target_definition,signal_count,evaluated_signal_count,signals_per_week,hit_rate,random_hit_rate_mean,hit_lift,hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,median_gap_days,max_gap_days,first_signal,last_signal
AMD,corridor_exit_down_L20_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 200.0}",2,no_lower_price_in_next_h_observations,1,1,0.0064516129032258064,0.0,0.43,0.0,1.0,26.126117069933397,,,,-18.39584233858438,1.2434254357881485,,,2026-05-14,2026-05-14
AMD,corridor_exit_down_L20_r400_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}",2,no_lower_price_in_next_h_observations,15,15,0.0967741935483871,0.4,0.4042222222222222,0.989554700384827,0.6312292358803987,26.04067650291878,-2.245152582959933,51.8105073151544,0.026578073089700997,-26.891399771226197,0.14492847009031115,48.0,297.0,2023-10-03,2026-05-19
AMD,corridor_exit_down_L20_r400_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}",2,no_lower_price_in_next_h_observations,14,14,0.09032258064516129,0.42857142857142855,0.4066666666666666,1.053864168618267,0.5681063122923588,40.079898926091744,25.497537503933174,54.62157062858316,0.0033222591362126247,10.53067128058844,0.47475362512392244,43.0,297.0,2023-10-04,2026-05-20
AMD,corridor_exit_down_L20_r400_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 20, ""max_range_bps"": 400.0}",2,no_lower_price_in_next_h_observations,9,9,0.05806451612903226,0.2222222222222222,0.3811111111111111,0.5830903790087463,0.9269102990033222,34.381253491888586,10.388477191604467,56.164798089070246,0.0033222591362126247,-12.977877543907486,-4.088114960198846,93.0,297.0,2023-10-04,2026-05-20
AMD,corridor_exit_down_L5_r100_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}",2,no_lower_price_in_next_h_observations,34,34,0.21935483870967742,0.2647058823529412,0.4037254901960784,0.6556580864497329,0.9767441860465116,15.178202945761734,0.6015645969851561,27.53191851787774,0.013289036544850499,-42.56302089711277,-0.0015303192366077193,21.0,110.0,2023-09-22,2026-07-25
AMD,corridor_exit_down_L5_r100_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}",2,no_lower_price_in_next_h_observations,25,25,0.16129032258064516,0.28,0.4070666666666667,0.6878480183426139,0.9401993355481728,23.589562443464242,2.217333021906648,43.572582009346135,0.009966777408637873,-65.39491055820967,1.2365896332761015,28.0,109.0,2023-09-23,2026-02-17
AMD,corridor_exit_down_L5_r100_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 100.0}",2,no_lower_price_in_next_h_observations,17,17,0.10967741935483871,0.29411764705882354,0.4105882352941176,0.7163323782234958,0.9069767441860465,23.719681014077693,-4.609026069274598,49.64760194950294,0.03986710963455149,-92.86840534952918,2.2828465163340805,42.5,123.0,2023-10-03,2026-02-17
AMD,corridor_exit_down_L5_r200_b0bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 0.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",2,no_lower_price_in_next_h_observations,58,58,0.3741935483870968,0.25862068965517243,0.40212643678160914,0.643132771187652,0.9933554817275747,23.186558668115598,11.427448398272626,33.45173101300848,0.0033222591362126247,-41.42284587170969,-0.24134914127506116,15.0,58.0,2023-09-12,2026-08-21
AMD,corridor_exit_down_L5_r200_b25bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 25.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",2,no_lower_price_in_next_h_observations,47,47,0.3032258064516129,0.3191489361702128,0.39503546099290776,0.8078994614003592,0.8637873754152824,33.069775003614744,16.00890540890924,47.637001455207844,0.0033222591362126247,-50.79276371337458,-2.5462847360716014,17.0,109.0,2023-09-13,2026-08-21
AMD,corridor_exit_down_L5_r200_b50bp,corridor_exit_down,favourable_now,"{""breakout_bps"": 50.0, ""direction"": ""down"", ""lookback"": 5, ""max_range_bps"": 200.0}",2,no_lower_price_in_next_h_observations,33,33,0.2129032258064516,0.24242424242424243,0.40212121212121216,0.6028636021100225,0.9867109634551495,33.83446173320894,12.063815671087854,53.02046178288212,0.0033222591362126247,-71.83592353017028,-0.5850643755444724,22.0,123.0,2023-09-13,2026-07-08
