recent_years,requested_period_start,data_as_of,currency,strategy_id,strategy_family,selected_signal_family,policy,horizon,signal_count,total_push_count,evaluated_signal_count,signals_per_week,market_signals_per_week,quality_scope,active_weeks,active_week_share,weekly_count_cv,median_gap_days,p90_gap_days,max_gap_days,hit_rate,hit_target,random_hit_rate_mean,random_hit_rate_p05,random_hit_rate_p95,hit_lift,hit_uplift_ratio,hit_rate_10bp,random_hit_rate_10bp_mean,hit_uplift_ratio_10bp,hit_rate_25bp,random_hit_rate_25bp_mean,hit_uplift_ratio_25bp,forward_hold_rate,random_forward_hold_rate_mean,forward_hold_uplift_ratio,forward_hold_rate_10bp,random_forward_hold_rate_10bp_mean,forward_hold_uplift_ratio_10bp,forward_hold_rate_25bp,random_forward_hold_rate_25bp_mean,forward_hold_uplift_ratio_25bp,local_min_hit_rate,random_local_min_hit_rate_mean,local_min_uplift_ratio,local_min_hit_rate_10bp,random_local_min_hit_rate_10bp_mean,local_min_uplift_ratio_10bp,local_min_hit_rate_25bp,random_local_min_hit_rate_25bp_mean,local_min_uplift_ratio_25bp,hit_p_value,week_matched_random_hit_rate_mean,week_matched_hit_lift,week_matched_hit_p_value,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,forward_change_bps,random_forward_change_bps_mean,future_regret_bps,random_future_regret_bps_mean,first_signal,last_signal
3,2023-09-02,2026-09-02,AMD,walk_forward__spike__spike_only__h2,walk_forward,spike,spike_only,2,51,51,51,0.32903225806451614,0.32903225806451614,pure_spike_signals,50,0.3225806451612903,1.4691496231317012,17.0,37.60000000000001,68.0,0.3137254901960784,no_lower_price_in_next_h_observations,0.40379084967320267,0.3127450980392157,0.5098039215686274,0.7769504694075752,0.7769504694075752,0.35294117647058826,0.4543137254901961,0.7768666378938283,0.4117647058823529,0.520718954248366,0.7907618928078323,0.3137254901960784,0.40379084967320267,0.7769504694075752,0.35294117647058826,0.4543137254901961,0.7768666378938283,0.4117647058823529,0.520718954248366,0.7907618928078323,0.3137254901960784,0.11862745098039215,2.644628099173554,0.35294117647058826,0.15084967320261436,2.3396880415944543,0.4117647058823529,0.22699346405228757,1.8139936654189461,0.9501661129568106,0.271437908496732,1.155790994461835,0.2558139534883721,46.17337232521417,26.224028641308134,67.14434076382561,0.006644518272425249,-13.702901574438975,-0.7008918059581952,77.45209536201283,59.327096214585495,2023-09-13,2026-07-04
3,2023-09-02,2026-09-02,KGS,walk_forward__spike__spike_only__h2,walk_forward,spike,spike_only,2,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.9474565306378993,34.0,134.6,202.0,0.375,no_lower_price_in_next_h_observations,0.3954166666666667,0.1875,0.5625,0.9483667017913593,0.9483667017913593,0.375,0.45895833333333336,0.817067635043123,0.5,0.5258333333333334,0.9508716323296355,0.375,0.3954166666666667,0.9483667017913593,0.375,0.45895833333333336,0.817067635043123,0.5,0.5258333333333334,0.9508716323296355,0.375,0.1175,3.191489361702128,0.375,0.17104166666666668,2.192448233861145,0.5,0.24125,2.072538860103627,0.6910299003322259,0.239375,1.566579634464752,0.08970099667774087,33.19791613664191,11.241861726684562,55.35986291638348,0.0033222591362126247,-12.568960542855763,-0.7243385952892774,65.1362347860797,56.66327100303434,2023-10-26,2026-05-13
3,2023-09-02,2026-09-02,KZT,walk_forward__spike__spike_only__h2,walk_forward,spike,spike_only,2,43,43,43,0.27741935483870966,0.27741935483870966,pure_spike_signals,43,0.27741935483870966,1.6138931695718581,16.0,35.8,168.0,0.37209302325581395,no_lower_price_in_next_h_observations,0.3988372093023256,0.3023255813953488,0.5116279069767442,0.9329446064139941,0.9329446064139941,0.3953488372093023,0.44449612403100774,0.88943146145797,0.5116279069767442,0.5086046511627906,1.0059442158207592,0.37209302325581395,0.3988372093023256,0.9329446064139941,0.3953488372093023,0.44449612403100774,0.88943146145797,0.5116279069767442,0.5086046511627906,1.0059442158207592,0.37209302325581395,0.14116279069767443,2.6359143327841843,0.3953488372093023,0.17976744186046512,2.1992238033635187,0.5116279069767442,0.23124031007751938,2.212537713711029,0.7242524916943521,0.24697674418604648,1.5065913370998119,0.03322259136212625,47.154836698710184,25.013777847498783,68.92806050974089,0.0033222591362126247,4.875602632670118,-1.0391446917062555,59.20840574085445,67.25044666203529,2023-09-13,2026-05-13
3,2023-09-02,2026-09-02,TJS,walk_forward__spike__spike_only__h2,walk_forward,spike,spike_only,2,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.947456530637899,34.0,114.39999999999999,241.0,0.375,no_lower_price_in_next_h_observations,0.41625,0.25,0.625,0.9009009009009009,0.9009009009009009,0.375,0.463125,0.8097165991902834,0.5,0.5497916666666667,0.9094353921940128,0.375,0.41625,0.9009009009009009,0.375,0.463125,0.8097165991902834,0.5,0.5497916666666667,0.9094353921940128,0.375,0.12083333333333333,3.103448275862069,0.375,0.16020833333333334,2.3407022106631987,0.5,0.23895833333333333,2.092414995640802,0.7109634551495017,0.26916666666666667,1.3931888544891642,0.2026578073089701,30.00311452056453,10.061658562426864,48.552251108876284,0.006644518272425249,-13.237432309985978,3.4003123778396,69.29211181610037,57.0559860070993,2023-10-26,2026-05-14
3,2023-09-02,2026-09-02,UZS,walk_forward__spike__spike_only__h2,walk_forward,spike,spike_only,2,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.947456530637899,34.0,123.79999999999998,195.0,0.375,no_lower_price_in_next_h_observations,0.410625,0.25,0.625,0.91324200913242,0.91324200913242,0.5625,0.4675,1.2032085561497325,0.625,0.5279166666666667,1.1838989739542225,0.375,0.410625,0.91324200913242,0.5625,0.4675,1.2032085561497325,0.625,0.5279166666666667,1.1838989739542225,0.375,0.12583333333333332,2.980132450331126,0.5625,0.1725,3.2608695652173916,0.625,0.24541666666666667,2.5466893039049237,0.7342192691029901,0.2175,1.7241379310344829,0.09634551495016612,34.80147074065736,13.199234422084952,62.25970705260276,0.006644518272425249,-7.323012237241821,-0.2153425760764147,65.005462998457,63.08251707400797,2023-10-26,2026-05-13
3,2023-09-02,2026-09-02,AMD,walk_forward__spike__spike_only__h3,walk_forward,spike,spike_only,3,51,51,51,0.32903225806451614,0.32903225806451614,pure_spike_signals,50,0.3225806451612903,1.4691496231317012,17.0,37.60000000000001,68.0,0.3137254901960784,no_lower_price_in_next_h_observations,0.34797385620915033,0.2549019607843137,0.47058823529411764,0.9015777610818932,0.9015777610818932,0.3333333333333333,0.38967320261437904,0.8554176450855419,0.35294117647058826,0.4460130718954249,0.7913247362250879,0.3137254901960784,0.34797385620915033,0.9015777610818932,0.3333333333333333,0.38967320261437904,0.8554176450855419,0.35294117647058826,0.4460130718954249,0.7913247362250879,0.3137254901960784,0.09339869281045751,3.358992302309307,0.3333333333333333,0.1133986928104575,2.9394812680115274,0.35294117647058826,0.16790849673202615,2.101985208252238,0.7807308970099668,0.22653594771241828,1.3848817080207734,0.053156146179401995,63.35479811291491,38.16771271679274,91.96825232753187,0.0033222591362126247,-14.85249492234624,-2.526924491605768,106.46417606962825,84.20402811567126,2023-09-13,2026-07-04
3,2023-09-02,2026-09-02,KGS,walk_forward__spike__spike_only__h3,walk_forward,spike,spike_only,3,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.9474565306378993,34.0,134.6,202.0,0.3125,no_lower_price_in_next_h_observations,0.34520833333333334,0.18437500000000007,0.5,0.9052504526252263,0.9052504526252263,0.3125,0.38708333333333333,0.8073196986006459,0.4375,0.451875,0.9681881051175656,0.3125,0.34520833333333334,0.9052504526252263,0.3125,0.38708333333333333,0.8073196986006459,0.4375,0.451875,0.9681881051175656,0.3125,0.09645833333333333,3.2397408207343417,0.3125,0.12166666666666667,2.5684931506849313,0.4375,0.18458333333333332,2.3702031602708806,0.7009966777408638,0.21145833333333333,1.477832512315271,0.2026578073089701,51.96864133115466,27.817535263545057,78.34132697041758,0.0033222591362126247,-18.882791004509325,-1.9848373819529526,83.69411292360019,79.69629513425073,2023-10-26,2026-05-13
3,2023-09-02,2026-09-02,KZT,walk_forward__spike__spike_only__h3,walk_forward,spike,spike_only,3,18,18,18,0.11612903225806452,0.11612903225806452,pure_spike_signals,18,0.11612903225806452,2.7588242262078086,18.0,180.0,203.0,0.4444444444444444,no_lower_price_in_next_h_observations,0.3222222222222222,0.16666666666666666,0.5,1.3793103448275863,1.3793103448275863,0.4444444444444444,0.365,1.21765601217656,0.4444444444444444,0.42925925925925923,1.0353753235547887,0.4444444444444444,0.3222222222222222,1.3793103448275863,0.4444444444444444,0.365,1.21765601217656,0.4444444444444444,0.42925925925925923,1.0353753235547887,0.4444444444444444,0.10296296296296295,4.316546762589929,0.4444444444444444,0.1325925925925926,3.3519553072625694,0.4444444444444444,0.17925925925925926,2.4793388429752063,0.1893687707641196,0.2674074074074074,1.6620498614958448,0.059800664451827246,43.84967668513453,5.796637239552868,72.00029644597161,0.0033222591362126247,-11.014108722021252,-5.15329885652382,107.02994412988842,93.38395109363442,2023-09-12,2026-05-13
3,2023-09-02,2026-09-02,TJS,walk_forward__spike__spike_only__h3,walk_forward,spike,spike_only,3,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.947456530637899,34.0,114.39999999999999,241.0,0.3125,no_lower_price_in_next_h_observations,0.37,0.1875,0.5625,0.8445945945945946,0.8445945945945946,0.3125,0.4089583333333333,0.7641365257259297,0.375,0.47229166666666667,0.7940008822232024,0.3125,0.37,0.8445945945945946,0.3125,0.4089583333333333,0.7641365257259297,0.375,0.47229166666666667,0.7940008822232024,0.3125,0.09229166666666666,3.3860045146726865,0.3125,0.11104166666666666,2.8142589118198873,0.375,0.16270833333333334,2.3047375160051216,0.7375415282392026,0.22458333333333333,1.391465677179963,0.2292358803986711,46.74426496687062,25.230911858974682,76.9240554798124,0.0033222591362126247,-22.631191205810044,1.5373357721667786,90.8417785331514,81.36813183508966,2023-10-26,2026-05-14
3,2023-09-02,2026-09-02,UZS,walk_forward__spike__spike_only__h3,walk_forward,spike,spike_only,3,16,16,16,0.1032258064516129,0.1032258064516129,pure_spike_signals,16,0.1032258064516129,2.947456530637899,34.0,123.79999999999998,195.0,0.3125,no_lower_price_in_next_h_observations,0.34791666666666665,0.18437500000000007,0.5625,0.8982035928143713,0.8982035928143713,0.4375,0.398125,1.0989010989010988,0.5,0.454375,1.1004126547455297,0.3125,0.34791666666666665,0.8982035928143713,0.4375,0.398125,1.0989010989010988,0.5,0.454375,1.1004126547455297,0.3125,0.09375,3.3333333333333335,0.4375,0.12666666666666668,3.453947368421052,0.5,0.18583333333333332,2.690582959641256,0.7043189368770764,0.15104166666666666,2.0689655172413794,0.059800664451827246,54.09875103831375,28.84355033050351,83.5216376014372,0.0033222591362126247,-13.185716807351396,-2.7154823509718304,80.66113042177567,86.56562326668653,2023-10-26,2026-05-13
