date,currency,observation_index,calendar_anchor,anchor_day,days_from_anchor,level_percentile_20,attractive,reminder_fallback,signal_source,message_fact
2025-04-05,UZS,3769,2025-04-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-04-20,AMD,3779,2025-04-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-04-20,KGS,3779,2025-04-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-04-20,KZT,3779,2025-04-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-04-20,TJS,3779,2025-04-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-04-20,UZS,3779,2025-04-20,20,0,1.0,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 100% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-05-05,AMD,3787,2025-05-05,5,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-05-05,KGS,3787,2025-05-05,5,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-05-05,KZT,3787,2025-05-05,5,0,0.65,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-05-05,TJS,3787,2025-05-05,5,0,0.6,False,True,calendar_reminder,Плановый перевод на 5-е число: сумма и реквизиты уже заполнены
2025-05-05,UZS,3787,2025-05-05,5,0,0.85,True,False,calendar_reminder,"Напоминание о переводе на 5-е число: курс ниже, чем в 85% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-05-20,AMD,3796,2025-05-20,20,0,0.6,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-05-20,KGS,3796,2025-05-20,20,0,0.9,True,False,calendar_reminder,"Напоминание о переводе на 20-е число: курс ниже, чем в 90% предыдущих 20 публикаций; сумма и реквизиты заполнены"
2025-05-20,KZT,3796,2025-05-20,20,0,0.55,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
2025-05-20,TJS,3796,2025-05-20,20,0,0.4,False,True,calendar_reminder,Плановый перевод на 20-е число: сумма и реквизиты уже заполнены
