currency,ml_signals,confirmed_signals,confirmation_rate,median_delay_observations,p90_delay_observations,mean_waiting_cost_bps,median_waiting_cost_bps,p90_adverse_waiting_cost_bps,waiting_cost_ci_low_95,waiting_cost_ci_high_95,waiting_cost_p_value_gt_zero,immediate_signals_per_week,confirmed_signals_per_week
AMD,34,19,0.5588235294117647,1.0,4.199999999999999,-46.456629220188326,-14.657054829348981,11.224394350388206,-79.84089556487837,-7.4825147722321645,0.9867109634551495,0.4089347079037801,0.22852233676975947
KGS,43,34,0.7906976744186046,1.0,3.6999999999999993,-21.779853332566383,0.0,15.076052129877171,-37.517283775121314,12.12139617877024,0.9169435215946844,0.5171821305841925,0.4089347079037801
KZT,35,21,0.6,2.0,4.0,-47.77017301543911,-25.751423822110155,16.667662742129163,-73.03331942896213,-8.407132452568618,0.9767441860465116,0.4209621993127148,0.25257731958762886
TJS,45,16,0.35555555555555557,3.0,4.5,-120.46760676359057,-126.37170550392983,-24.946775123493858,-155.1529453754897,-86.33022387458561,1.0,0.5412371134020619,0.19243986254295534
UZS,44,35,0.7954545454545454,1.0,2.0,-18.283741186159737,0.0,57.85192430250688,-42.413472546773434,10.120575351400696,0.8970099667774086,0.5292096219931272,0.4209621993127148
