window,horizon,evaluation_end_exclusive,currencies,signals,median_truth_hit_rate,median_truth_random,mean_truth_lift,median_truth_lift,min_truth_lift,median_local_min_lift,min_local_min_lift,mean_benefit_bps,median_benefit_bps,min_benefit_bps,all_benefits_significant,significant_benefit_share,median_signals_per_week
2025-2026,1,2026-08-06,5,333,0.5423728813559322,0.4987146529562982,1.1291557656513205,1.1046233028662702,1.0686813186813187,1.2317005028869437,1.150887573964497,4.388624122152905,3.855851674721803,0.7681837461715252,False,0.4,0.7938144329896908
2025-2026,3,2026-08-06,5,333,0.3898305084745763,0.31876606683804626,1.190140784271381,1.2101244343891402,1.1374269005847952,1.2354809437386571,0.890975721484196,12.86222565683632,12.254466541394699,8.721348457802016,False,0.6,0.7938144329896908
2025-2026,5,2026-08-06,5,333,0.3484848484848485,0.2544987146529563,1.336564380644335,1.3421842184218422,1.2467948717948718,0.9823232323232324,0.7687747035573123,25.121281410422945,25.818751232522132,20.668480254089584,True,1.0,0.7938144329896908
2025-2026,10,2026-08-06,5,333,0.32051282051282054,0.19023136246786632,1.5318925268935435,1.4501397949673813,1.3311191626409018,0.5893939393939394,0.47094430992736075,55.18250045170229,50.80378643536087,46.47342540760155,True,1.0,0.7938144329896908
2025-2026,20,2026-08-06,5,333,0.288135593220339,0.14652956298200515,1.8383019392789592,1.7864523536165327,1.6008230452674894,1.0988700564971752,0.0,100.84719671725554,94.67048726382463,89.74193755511236,True,1.0,0.7938144329896908
