fold_start,fold_end,currency,horizon,signal_count,signals_per_week,truth_now_hit_rate,truth_now_random,truth_now_lift,local_min_hit_rate,local_min_random,local_min_lift,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,benefit_significant_5pct,clustered_share_within_5_observations,train_horizon,evaluation_horizon,model_config,score_lookback,joint_quantile,effective_evaluation_end
2023-01-01,2023-12-31,AMD,10,54,1.0384615384615385,0.35185185185185186,0.31983805668016196,1.1000937646507267,0.05555555555555555,0.02834008097165992,1.9603174603174602,104.42502696415232,61.87575984056784,157.2472660942152,0.0033222591362126247,True,0.8333333333333334,11,10,deep_regularized,60,0.825,2023-12-31
2023-01-01,2023-12-31,KGS,10,51,0.9807692307692307,0.4117647058823529,0.29959514170040485,1.374403815580286,0.058823529411764705,0.024291497975708502,2.4215686274509802,87.57905747238816,58.50725076586501,124.10076025732603,0.0033222591362126247,True,0.7254901960784313,11,10,deep_regularized,60,0.825,2023-12-31
2023-01-01,2023-12-31,KZT,10,41,0.7884615384615384,0.43902439024390244,0.2834008097165992,1.549128919860627,0.04878048780487805,0.02834008097165992,1.721254355400697,100.57024564941773,66.04857369847744,140.34576057142394,0.0033222591362126247,True,0.7317073170731707,11,10,deep_regularized,60,0.825,2023-12-31
2023-01-01,2023-12-31,TJS,10,51,0.9807692307692307,0.3333333333333333,0.2793522267206478,1.1932367149758452,0.058823529411764705,0.02834008097165992,2.07563025210084,62.57167492228687,14.913562280441042,126.45006290635442,0.0033222591362126247,True,0.7647058823529411,11,10,deep_regularized,60,0.825,2023-12-31
2023-01-01,2023-12-31,UZS,10,50,0.9615384615384616,0.4,0.30364372469635625,1.3173333333333335,0.06,0.02834008097165992,2.117142857142857,80.0095826811061,52.15251069020789,122.23688707479906,0.0033222591362126247,True,0.72,11,10,deep_regularized,60,0.825,2023-12-31
2024-01-01,2024-12-30,AMD,10,79,1.5192307692307692,0.34177215189873417,0.2903225806451613,1.1772151898734176,0.0379746835443038,0.03225806451612903,1.1772151898734178,44.577303325071306,-19.202080513913543,86.64249336150883,0.07973421926910298,False,0.8607594936708861,11,10,deep_smooth,504,0.8,2024-12-30
2024-01-01,2024-12-30,KGS,10,68,1.3076923076923077,0.36764705882352944,0.29435483870967744,1.2489927477840452,0.029411764705882353,0.03225806451612903,0.9117647058823529,41.46788235332891,14.163479283734873,72.84704223483124,0.0033222591362126247,True,0.8235294117647058,11,10,deep_smooth,504,0.8,2024-12-30
2024-01-01,2024-12-30,KZT,10,66,1.2692307692307692,0.22727272727272727,0.2056451612903226,1.105169340463458,0.015151515151515152,0.036290322580645164,0.4175084175084175,13.980757327444413,-47.88969947196861,57.554135045047474,0.3388704318936877,False,0.8636363636363636,11,10,deep_smooth,504,0.8,2024-12-30
2024-01-01,2024-12-30,TJS,10,72,1.3846153846153846,0.3611111111111111,0.29435483870967744,1.2267884322678841,0.013888888888888888,0.03225806451612903,0.4305555555555555,31.268543790177773,-0.3921550956163671,65.81239914166015,0.036544850498338874,False,0.8055555555555556,11,10,deep_smooth,504,0.8,2024-12-30
2024-01-01,2024-12-30,UZS,10,73,1.4038461538461537,0.3013698630136986,0.2620967741935484,1.1498419388830348,0.0136986301369863,0.04032258064516129,0.33972602739726027,23.778707046033826,1.081658489312069,48.34977174754229,0.019933554817275746,True,0.863013698630137,11,10,deep_smooth,504,0.8,2024-12-30
2025-01-01,2026-01-01,AMD,10,21,0.4027397260273972,0.19047619047619047,0.145748987854251,1.306878306878307,0.0,0.04048582995951417,0.0,38.43949616371757,5.306313460455314,77.89480428884437,0.009966777408637873,True,0.7619047619047619,11,10,deep_smooth,504,0.8,2026-01-01
2025-01-01,2026-01-01,KGS,10,37,0.7095890410958904,0.13513513513513514,0.13360323886639677,1.0114660114660114,0.02702702702702703,0.02834008097165992,0.9536679536679538,20.659478871267165,-5.284533637916283,59.09253280956213,0.05647840531561462,False,0.8648648648648649,11,10,deep_smooth,504,0.8,2026-01-01
2025-01-01,2026-01-01,KZT,10,34,0.6520547945205479,0.11764705882352941,0.12955465587044535,0.9080882352941176,0.08823529411764706,0.04048582995951417,2.1794117647058826,62.60941329268276,32.846393612034674,82.61945328927635,0.006644518272425249,True,0.8235294117647058,11,10,deep_smooth,504,0.8,2026-01-01
2025-01-01,2026-01-01,TJS,10,32,0.6136986301369862,0.28125,0.20647773279352227,1.3621323529411764,0.03125,0.02834008097165992,1.1026785714285714,22.13340400117187,-9.085430015434923,60.156662900546245,0.08637873754152824,False,0.75,11,10,deep_smooth,504,0.8,2026-01-01
2025-01-01,2026-01-01,UZS,10,31,0.5945205479452055,0.12903225806451613,0.1214574898785425,1.0623655913978496,0.03225806451612903,0.02834008097165992,1.1382488479262673,31.015974661979705,-4.5826122215940615,71.55497948186495,0.05647840531561462,False,0.7096774193548387,11,10,deep_smooth,504,0.8,2026-01-01
2026-01-01,2026-08-19,AMD,10,38,1.156521739130435,0.39473684210526316,0.2847682119205298,1.3861689106487147,0.02631578947368421,0.026490066225165563,0.9934210526315789,50.91322841080059,-6.75293406321974,82.89370116730302,0.046511627906976744,False,0.7894736842105263,11,10,baseline_long,504,0.7,2026-08-19
2026-01-01,2026-08-19,KGS,10,35,1.065217391304348,0.34285714285714286,0.26490066225165565,1.2942857142857143,0.0,0.026490066225165563,0.0,77.1554207463843,33.20977141421065,105.24788473111258,0.006644518272425249,True,0.8571428571428571,11,10,baseline_long,504,0.7,2026-08-19
2026-01-01,2026-08-19,KZT,10,24,0.7304347826086958,0.5,0.32450331125827814,1.5408163265306123,0.0,0.026490066225165563,0.0,85.15300754526329,-11.64251125304122,217.90279977110166,0.059800664451827246,False,0.7083333333333334,11,10,baseline_long,504,0.7,2026-08-19
2026-01-01,2026-08-19,TJS,10,46,1.4000000000000001,0.34782608695652173,0.271523178807947,1.2810180275715801,0.021739130434782608,0.026490066225165563,0.8206521739130435,70.74840030262278,2.837837561105232,108.63340520204756,0.026578073089700997,True,0.8478260869565217,11,10,baseline_long,504,0.7,2026-08-19
2026-01-01,2026-08-19,UZS,10,35,1.065217391304348,0.5142857142857142,0.32450331125827814,1.5848396501457724,0.0,0.019867549668874173,0.0,82.98387434951424,19.451176085908457,127.06783466387711,0.009966777408637873,True,0.8571428571428571,11,10,baseline_long,504,0.7,2026-08-19
