window_immediate,fold_start_immediate,fold_end_immediate,currency,horizon,signal_count_immediate,signals_per_week_immediate,truth_now_hit_rate_immediate,truth_now_random_immediate,truth_now_lift_immediate,local_min_hit_rate_immediate,local_min_random_immediate,local_min_lift_immediate,benefit_bps_immediate,benefit_ci_low_95_immediate,benefit_ci_high_95_immediate,benefit_p_value_vs_zero_immediate,benefit_significant_5pct_immediate,clustered_share_within_5_observations_immediate,window_confirmed,fold_start_confirmed,fold_end_confirmed,signal_count_confirmed,signals_per_week_confirmed,truth_now_hit_rate_confirmed,truth_now_random_confirmed,truth_now_lift_confirmed,local_min_hit_rate_confirmed,local_min_random_confirmed,local_min_lift_confirmed,benefit_bps_confirmed,benefit_ci_low_95_confirmed,benefit_ci_high_95_confirmed,benefit_p_value_vs_zero_confirmed,benefit_significant_5pct_confirmed,clustered_share_within_5_observations_confirmed,lift_change,benefit_change_bps,frequency_change
2025-2026,2025-01-01,2026-08-06,AMD,1,34,0.4089347079037801,0.5294117647058824,0.4910025706940874,1.0782260548198337,0.2647058823529412,0.23393316195372751,1.1315449256625727,4.20921962843833,-11.090575598721085,16.00120721406033,0.29900332225913623,False,0.6176470588235294,2025-2026,2025-01-01,2026-08-06,19,0.22852233676975947,0.47368421052631576,0.4910025706940874,0.9647285753651142,0.3157894736842105,0.23393316195372751,1.3499132446500866,14.21842252692134,0.14323653081846288,24.057755938340584,0.029900332225913623,True,0.3684210526315789,-0.11349747945471944,10.00920289848301,-0.18041237113402064
2025-2026,2025-01-01,2026-08-06,KGS,1,43,0.5171821305841925,0.5581395348837209,0.442159383033419,1.2623039480800433,0.37209302325581395,0.23136246786632392,1.6082687338501291,11.243394009737868,1.1358135894463928,19.491311789707893,0.013289036544850499,True,0.7674418604651163,2025-2026,2025-01-01,2026-08-06,34,0.4089347079037801,0.5,0.442159383033419,1.130813953488372,0.38235294117647056,0.23136246786632392,1.6526143790849672,13.111591563417203,2.0034104142389495,20.973271241846366,0.023255813953488372,True,0.7058823529411765,-0.1314899945916712,1.8681975536793356,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,KZT,1,35,0.4209621993127148,0.5714285714285714,0.5038560411311054,1.1341107871720117,0.3142857142857143,0.2390745501285347,1.3145929339477727,11.862870553770028,-5.723191433962029,30.38722598583031,0.07973421926910298,False,0.6285714285714286,2025-2026,2025-01-01,2026-08-06,21,0.25257731958762886,0.5238095238095238,0.5038560411311054,1.0396015549076774,0.47619047619047616,0.2390745501285347,1.9918074756784432,29.765879233367976,7.418478196006042,42.79231018932619,0.009966777408637873,True,0.5714285714285714,-0.09450923226433439,17.903008679597946,-0.16838487972508592
2025-2026,2025-01-01,2026-08-06,TJS,1,45,0.5412371134020619,0.5555555555555556,0.5038560411311054,1.1026077097505669,0.26666666666666666,0.23393316195372751,1.1399267399267399,5.421164739211405,-2.531102073425984,14.71401702480361,0.09302325581395349,False,0.6444444444444445,2025-2026,2025-01-01,2026-08-06,16,0.19243986254295534,0.25,0.5038560411311054,0.49617346938775514,0.1875,0.23393316195372751,0.8015109890109889,19.526434115261715,16.257398568802937,24.36426876390646,0.0033222591362126247,True,0.5,-0.6064342403628118,14.105269376050309,-0.3487972508591066
2025-2026,2025-01-01,2026-08-06,UZS,1,44,0.5292096219931272,0.5909090909090909,0.4987146529562982,1.1848641049671977,0.29545454545454547,0.2210796915167095,1.336416490486258,1.278740491293496,-11.424736838033013,12.976843633304409,0.4119601328903654,False,0.6818181818181818,2025-2026,2025-01-01,2026-08-06,35,0.4209621993127148,0.6285714285714286,0.4987146529562982,1.260382916053019,0.45714285714285713,0.2210796915167095,2.0677740863787375,16.073282358103825,0.43386666874759783,25.348970330102517,0.023255813953488372,True,0.6857142857142857,0.07551881108582137,14.794541866810329,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,AMD,3,34,0.4089347079037801,0.35294117647058826,0.31876606683804626,1.1072106261859584,0.11764705882352941,0.09511568123393316,1.2368839427662957,10.784475497516581,-7.466048295861167,26.93489817400763,0.11295681063122924,False,0.6176470588235294,2025-2026,2025-01-01,2026-08-06,19,0.22852233676975947,0.3684210526315789,0.31876606683804626,1.1557724957555178,0.2631578947368421,0.09511568123393316,2.7667140825035563,32.24797921455235,-0.1318805823949134,54.4453887686155,0.03322259136212625,True,0.3684210526315789,0.048561869569559324,21.46350371703577,-0.18041237113402064
2025-2026,2025-01-01,2026-08-06,KGS,3,43,0.5171821305841925,0.3488372093023256,0.2930591259640103,1.1903304773561811,0.13953488372093023,0.09768637532133675,1.4283965728274175,15.392796002216045,2.0221254093165726,28.306733568361008,0.016611295681063124,True,0.7674418604651163,2025-2026,2025-01-01,2026-08-06,34,0.4089347079037801,0.17647058823529413,0.2930591259640103,0.6021671826625388,0.08823529411764706,0.09768637532133675,0.9032507739938082,22.526479455723294,2.170030494494263,34.72570319586887,0.019933554817275746,True,0.7058823529411765,-0.5881632946936424,7.133683453507249,-0.10824742268041238
2025-2026,2025-01-01,2026-08-06,KZT,3,35,0.4209621993127148,0.34285714285714286,0.3110539845758355,1.1022432113341203,0.11428571428571428,0.09768637532133675,1.1699248120300751,18.56168657188917,-4.660064870106133,43.63814236651352,0.0664451827242525,False,0.6285714285714286,2025-2026,2025-01-01,2026-08-06,21,0.25257731958762886,0.38095238095238093,0.3110539845758355,1.2247146792601336,0.2857142857142857,0.09768637532133675,2.924812030075188,60.47938179724885,27.62422703873304,79.52118917495078,0.006644518272425249,True,0.5714285714285714,0.12247146792601327,41.91769522535968,-0.16838487972508592
2025-2026,2025-01-01,2026-08-06,TJS,3,45,0.5412371134020619,0.4,0.3496143958868895,1.1441176470588235,0.1111111111111111,0.09511568123393316,1.1681681681681682,14.72630282442353,1.2667062898228885,29.248317577904658,0.013289036544850499,True,0.6444444444444445,2025-2026,2025-01-01,2026-08-06,16,0.19243986254295534,0.1875,0.3496143958868895,0.5363051470588235,0.125,0.09511568123393316,1.3141891891891893,43.24311752677133,29.397073101431474,55.33402166316256,0.0033222591362126247,True,0.5,-0.6078125,28.516814702347798,-0.3487972508591066
2025-2026,2025-01-01,2026-08-06,UZS,3,44,0.5292096219931272,0.4090909090909091,0.32390745501285345,1.262987012987013,0.1590909090909091,0.10025706940874037,1.5868298368298368,10.574972703118368,-6.403476418910312,28.374624288316348,0.1461794019933555,False,0.6818181818181818,2025-2026,2025-01-01,2026-08-06,35,0.4209621993127148,0.4,0.32390745501285345,1.234920634920635,0.2571428571428571,0.10025706940874037,2.5648351648351646,25.380367395696272,6.396690946238316,41.27610968282106,0.006644518272425249,True,0.6857142857142857,-0.028066378066378128,14.805394692577904,-0.10824742268041238
