window,fold_start,fold_end,currency,horizon,signal_count,signals_per_week,truth_now_hit_rate,truth_now_random,truth_now_lift,local_min_hit_rate,local_min_random,local_min_lift,benefit_bps,benefit_ci_low_95,benefit_ci_high_95,benefit_p_value_vs_zero,benefit_significant_5pct,clustered_share_within_5_observations
2025-2026,2025-01-01,2026-08-06,AMD,1,34,0.4089347079037801,0.5294117647058824,0.4910025706940874,1.0782260548198337,0.2647058823529412,0.23393316195372751,1.1315449256625727,4.20921962843833,-11.090575598721085,16.00120721406033,0.29900332225913623,False,0.6176470588235294
2025-2026,2025-01-01,2026-08-06,KGS,1,43,0.5171821305841925,0.5581395348837209,0.442159383033419,1.2623039480800433,0.37209302325581395,0.23136246786632392,1.6082687338501291,11.243394009737868,1.1358135894463928,19.491311789707893,0.013289036544850499,True,0.7674418604651163
2025-2026,2025-01-01,2026-08-06,KZT,1,35,0.4209621993127148,0.5714285714285714,0.5038560411311054,1.1341107871720117,0.3142857142857143,0.2390745501285347,1.3145929339477727,11.862870553770028,-5.723191433962029,30.38722598583031,0.07973421926910298,False,0.6285714285714286
2025-2026,2025-01-01,2026-08-06,TJS,1,45,0.5412371134020619,0.5555555555555556,0.5038560411311054,1.1026077097505669,0.26666666666666666,0.23393316195372751,1.1399267399267399,5.421164739211405,-2.531102073425984,14.71401702480361,0.09302325581395349,False,0.6444444444444445
2025-2026,2025-01-01,2026-08-06,UZS,1,44,0.5292096219931272,0.5909090909090909,0.4987146529562982,1.1848641049671977,0.29545454545454547,0.2210796915167095,1.336416490486258,1.278740491293496,-11.424736838033013,12.976843633304409,0.4119601328903654,False,0.6818181818181818
2025-2026,2025-01-01,2026-08-06,AMD,3,34,0.4089347079037801,0.35294117647058826,0.31876606683804626,1.1072106261859584,0.11764705882352941,0.09511568123393316,1.2368839427662957,10.784475497516581,-7.466048295861167,26.93489817400763,0.11295681063122924,False,0.6176470588235294
2025-2026,2025-01-01,2026-08-06,KGS,3,43,0.5171821305841925,0.3488372093023256,0.2930591259640103,1.1903304773561811,0.13953488372093023,0.09768637532133675,1.4283965728274175,15.392796002216045,2.0221254093165726,28.306733568361008,0.016611295681063124,True,0.7674418604651163
2025-2026,2025-01-01,2026-08-06,KZT,3,35,0.4209621993127148,0.34285714285714286,0.3110539845758355,1.1022432113341203,0.11428571428571428,0.09768637532133675,1.1699248120300751,18.56168657188917,-4.660064870106133,43.63814236651352,0.0664451827242525,False,0.6285714285714286
2025-2026,2025-01-01,2026-08-06,TJS,3,45,0.5412371134020619,0.4,0.3496143958868895,1.1441176470588235,0.1111111111111111,0.09511568123393316,1.1681681681681682,14.72630282442353,1.2667062898228885,29.248317577904658,0.013289036544850499,True,0.6444444444444445
2025-2026,2025-01-01,2026-08-06,UZS,3,44,0.5292096219931272,0.4090909090909091,0.32390745501285345,1.262987012987013,0.1590909090909091,0.10025706940874037,1.5868298368298368,10.574972703118368,-6.403476418910312,28.374624288316348,0.1461794019933555,False,0.6818181818181818
