currency,observations,start,end,nominal_values_seen,first_rub_per_unit,last_rub_per_unit,total_change_pct,min_rub_per_unit,max_rub_per_unit,daily_return_std_pct,abs_daily_return_p95_pct,zero_return_share_pct
AMD,4116,2010-01-12,2026-09-02,"100,1000",0.0779042,0.23816199999999998,205.71137371284212,0.0717993,0.278846,1.1710046881583815,2.153181525664347,0.07290400972053464
CNY,4117,2010-01-01,2026-09-02,"1,10",4.42149,12.897,191.68900076670985,4.19772,19.0415,1.131161019831784,2.0383905862707055,0.024295432458697763
EUR,4117,2010-01-01,2026-09-02,1,43.4605,100.5988,131.47179622875944,37.4206,132.9581,1.1596704381970118,2.1934330151055006,0.024295432458697763
KGS,4116,2010-01-12,2026-09-02,"10,100",0.6661750000000001,0.9920300000000001,48.9143243141817,0.584369,1.26242,1.2288899929364512,2.29902944264246,0.04860267314702309
KZT,4117,2010-01-01,2026-09-02,100,0.20323899999999998,0.187651,-7.66978778679287,0.112176,0.37736800000000004,1.2137310637360048,2.0985934808353757,0.12147716229348883
TJS,4116,2010-01-12,2026-09-02,"1,10",6.73232,9.38073,39.338742068113234,4.72982,12.965,1.31206220300891,2.3607042868431587,0.09720534629404617
USD,4117,2010-01-01,2026-09-02,1,30.1851,86.753,187.40338776416178,27.2625,120.3785,1.1445392101612273,2.099373693847262,0.17006802721088435
UZS,4116,2010-01-12,2026-09-02,"1000,10000",0.019442599999999997,0.00733921,-62.251910752677105,0.0047366100000000005,0.029822099999999997,1.400515398185707,2.179593311584938,0.07290400972053464
