currency,observations,start,end,nominal_values_seen,first_rub_per_unit,last_rub_per_unit,total_change_pct,min_rub_per_unit,max_rub_per_unit,daily_return_std_pct,abs_daily_return_p95_pct,zero_return_share_pct
AMD,1888,2019-01-10,2026-09-02,100,0.13828,0.23816199999999998,72.23170378941279,0.12491300000000001,0.278846,1.2293522416316816,2.219168602441658,0.10598834128245893
KGS,1888,2019-01-10,2026-09-02,"10,100",0.9604739999999999,0.9920300000000001,3.2854611368970055,0.643497,1.26242,1.3077019374701604,2.2803470146825733,0.0
KZT,1888,2019-01-10,2026-09-02,100,0.17857900000000002,0.187651,5.080104603564806,0.112176,0.23148800000000003,1.2052198776183631,2.225844830775625,0.052994170641229466
TJS,1888,2019-01-10,2026-09-02,"1,10",7.109640000000001,9.38073,31.943811501004248,4.72982,10.6719,1.4078024742650816,2.2632199146100813,0.1589825119236884
UZS,1888,2019-01-10,2026-09-02,"1000,10000",0.008045950000000001,0.00733921,-8.78379805989351,0.0047366100000000005,0.0110589,1.241033712104757,2.2200005289221867,0.10598834128245893
